item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
생강,247,국산(1kg),0,상품,4,1kg,당일 (01/03),"12,723",1일전 (01/02),"12,677",1주일전 (12/27),"13,511",2주일전 (12/20),"13,503",1개월전,"11,810",1년전,"8,093",일평년,"10,739",2023-01-03
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (01/03),"30,543",1일전 (01/02),"30,538",1주일전 (12/27),"30,111",2주일전 (12/20),"30,234",1개월전,"30,074",1년전,"30,345",일평년,"30,958",2023-01-03
고춧가루,248,중국(1kg),1,상품,4,1kg,당일 (01/03),"12,870",1일전 (01/02),"12,870",1주일전 (12/27),"12,893",2주일전 (12/20),"12,893",1개월전,"12,843",1년전,"12,271",일평년,"11,785",2023-01-03
미나리,252,미나리(100g),0,상품,4,100g,당일 (01/03),"1,607",1일전 (01/02),"1,603",1주일전 (12/27),"1,486",2주일전 (12/20),"1,510",1개월전,"1,459",1년전,920,일평년,918,2023-01-03
깻잎,253,깻잎(100g),0,상품,4,100g,당일 (01/03),"2,935",1일전 (01/02),"2,900",1주일전 (12/27),"2,422",2주일전 (12/20),"2,296",1개월전,"2,091",1년전,"2,503",일평년,"2,172",2023-01-03
피망,255,청(100g),0,상품,4,100g,당일 (01/03),"1,394",1일전 (01/02),"1,369",1주일전 (12/27),"1,112",2주일전 (12/20),924,1개월전,887,1년전,"1,260",일평년,"1,041",2023-01-03
파프리카,256,파프리카(200g),0,상품,4,200g,당일 (01/03),"1,746",1일전 (01/02),"1,680",1주일전 (12/27),"1,565",2주일전 (12/20),"1,521",1개월전,"1,293",1년전,"1,705",일평년,"1,418",2023-01-03
파프리카,256,파프리카(200g),0,중품,5,200g,당일 (01/03),"1,112",1일전 (01/02),"1,103",1주일전 (12/27),"1,065",2주일전 (12/20),"1,022",1개월전,954,1년전,"1,112",일평년,"1,055",2023-01-03
멜론,257,멜론(1개),0,상품,4,1개,당일 (01/03),"14,925",1일전 (01/02),"14,772",1주일전 (12/27),"14,827",2주일전 (12/20),"14,579",1개월전,"12,356",1년전,"13,677",일평년,"11,090",2023-01-03
깐마늘(국산),258,깐마늘(국산)(1kg),1,상품,4,1kg,당일 (01/03),"12,612",1일전 (01/02),"12,527",1주일전 (12/27),"12,330",2주일전 (12/20),"12,112",1개월전,"11,722",1년전,"12,670",일평년,"9,531",2023-01-03
깐마늘(국산),258,깐마늘(국산)(1kg),1,중품,5,1kg,당일 (01/03),"9,671",1일전 (01/02),"9,550",1주일전 (12/27),"9,940",2주일전 (12/20),"9,681",1개월전,"9,375",1년전,"8,986",일평년,"7,281",2023-01-03
방울토마토,422,방울토마토(1kg),1,상품,4,1kg,당일 (01/03),"10,650",1일전 (01/02),"10,650",1주일전 (12/27),"10,650",2주일전 (12/20),"9,474",1개월전,"9,591",1년전,"11,643",일평년,"7,902",2023-01-03
방울토마토,422,대추방울토마토(1kg),2,상품,4,1kg,당일 (01/03),"7,678",1일전 (01/02),"7,682",1주일전 (12/27),"7,115",2주일전 (12/20),"6,774",1개월전,"7,047",1년전,"9,487",일평년,"8,143",2023-01-03
배추,211,가을(1포기),3,상품,4,1포기,당일 (01/04),"2,984",1일전 (01/03),"3,125",1주일전 (12/28),"2,972",2주일전 (12/21),"2,878",1개월전,"2,849",1년전,"4,362",일평년,"4,362",2023-01-04
배추,211,가을(1포기),3,중품,5,1포기,당일 (01/04),-,1일전 (01/03),"2,752",1주일전 (12/28),"2,585",2주일전 (12/21),"2,593",1개월전,"2,713",1년전,"3,739",일평년,"3,739",2023-01-04
배추,211,월동(1포기),6,상품,4,1포기,당일 (01/04),"3,344",1일전 (01/03),-,1주일전 (12/28),-,2주일전 (12/21),-,1개월전,-,1년전,-,일평년,"3,300",2023-01-04
배추,211,월동(1포기),6,중품,5,1포기,당일 (01/04),"2,738",1일전 (01/03),-,1주일전 (12/28),-,2주일전 (12/21),-,1개월전,-,1년전,-,일평년,"2,675",2023-01-04
양배추,212,양배추(1포기),0,상품,4,1포기,당일 (01/04),"3,823",1일전 (01/03),"3,839",1주일전 (12/28),"3,827",2주일전 (12/21),"3,518",1개월전,"3,614",1년전,"3,162",일평년,"3,658",2023-01-04
양배추,212,양배추(1포기),0,중품,5,1포기,당일 (01/04),"3,408",1일전 (01/03),"3,417",1주일전 (12/28),"3,240",2주일전 (12/21),"2,830",1개월전,"3,150",1년전,"2,839",일평년,"2,984",2023-01-04
시금치,213,시금치(100g),0,상품,4,100g,당일 (01/04),746,1일전 (01/03),746,1주일전 (12/28),678,2주일전 (12/21),634,1개월전,703,1년전,693,일평년,541,2023-01-04
