item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
김,마른김(10장),중품,10장,당일 (01/05),986,1일전 (01/04),994,1주일전 (12/29),994,2주일전 (12/22),994,1개월전,936,1년전,918,일평년,956,2023-01-05,,,
김,얼구운김(10장),중품,10장,당일 (01/05),"1,637",1일전 (01/04),"1,643",1주일전 (12/29),"1,643",2주일전 (12/22),"1,643",1개월전,"1,642",1년전,"1,647",일평년,"1,521",2023-01-05,,,
건미역,건미역(100g),상품,100g,당일 (01/05),"2,972",1일전 (01/04),"3,021",1주일전 (12/29),"3,021",2주일전 (12/22),"3,017",1개월전,"3,013",1년전,"2,898",일평년,"2,883",2023-01-05,,,
굴,굴(1kg),상품,1kg,당일 (01/05),"27,856",1일전 (01/04),"28,038",1주일전 (12/29),"28,103",2주일전 (12/22),"28,919",1개월전,"28,033",1년전,"26,423",일평년,"20,444",2023-01-05,,,
수입조기,부세수입(냉동)(1마리),중품,1마리,당일 (01/05),"3,850",1일전 (01/04),"3,878",1주일전 (12/29),"3,850",2주일전 (12/22),"3,836",1개월전,"3,902",1년전,"3,870",일평년,"4,161",2023-01-05,,,
새우젓,새우젓(1kg),상품,1kg,당일 (01/05),"17,643",1일전 (01/04),"17,643",1주일전 (12/29),"17,688",2주일전 (12/22),"17,546",1개월전,"17,012",1년전,"21,681",일평년,"20,719",2023-01-05,,,
멸치액젓,멸치액젓(1kg),상품,1kg,당일 (01/05),"5,498",1일전 (01/04),"5,509",1주일전 (12/29),"5,475",2주일전 (12/22),"5,475",1개월전,"5,058",1년전,"5,214",일평년,"4,747",2023-01-05,,,
굵은소금,굵은소금(5kg),상품,5kg,당일 (01/05),"11,923",1일전 (01/04),"11,960",1주일전 (12/29),"11,960",2주일전 (12/22),"11,960",1개월전,"12,018",1년전,"10,482",일평년,"7,631",2023-01-05,,,
전복,전복(5마리),중품,5마리,당일 (01/05),"16,607",1일전 (01/04),"17,449",1주일전 (12/29),"17,776",2주일전 (12/22),"18,637",1개월전,"16,720",1년전,"14,766",일평년,"15,670",2023-01-05,,,
새우,흰다리(수입)(10마리),중품,10마리,당일 (01/05),"4,877",1일전 (01/04),"4,793",1주일전 (12/29),"4,789",2주일전 (12/22),"4,762",1개월전,"4,699",1년전,"4,435",일평년,"4,663",2023-01-05,,,
고등어,국산(염장)(1마리),중품,2마리,당일 (01/06),"2,234",1일전 (01/05),"2,234",1주일전 (12/30),"2,191",2주일전 (12/23),"2,158",1개월전,"2,109",1년전,"1,893",일평년,"1,646",2023-01-06,,,
고등어,국산(신선 냉장)(1마리),大,1마리,당일 (01/06),"4,870",1일전 (01/05),"4,857",1주일전 (12/30),"4,836",2주일전 (12/23),"4,376",1개월전,"4,845",1년전,-,일평년,-,2023-01-06,,,
꽁치,냉동(수입)(5마리),중품,5마리,당일 (01/06),"6,892",1일전 (01/05),"6,873",1주일전 (12/30),"6,898",2주일전 (12/23),"6,898",1개월전,"6,777",1년전,"6,102",일평년,"3,969",2023-01-06,,,
갈치,국산(냉장)(1마리),中,1마리,당일 (01/06),"8,388",1일전 (01/05),"8,412",1주일전 (12/30),"8,646",2주일전 (12/23),"8,917",1개월전,"8,963",1년전,-,일평년,-,2023-01-06,,,
갈치,국산(냉장)(1마리),小,1마리,당일 (01/06),"5,000",1일전 (01/05),"4,934",1주일전 (12/30),"4,985",2주일전 (12/23),"4,983",1개월전,"4,928",1년전,-,일평년,-,2023-01-06,,,
갈치,국산(냉동)(1마리),中,1마리,당일 (01/06),"5,701",1일전 (01/05),"5,601",1주일전 (12/30),"6,066",2주일전 (12/23),"5,146",1개월전,"5,793",1년전,-,일평년,-,2023-01-06,,,
조기,참조기(냉동)(1마리),中,1마리,당일 (01/06),"1,365",1일전 (01/05),"1,365",1주일전 (12/30),"1,478",2주일전 (12/23),"1,211",1개월전,"1,358",1년전,-,일평년,-,2023-01-06,,,
